Molecule Name,DTXSID,CASRN,SMILES,id,nconf
,,,N#CNC(=O)c1ccc(-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)cc1,189a9b541e0e057a,5
duloxetine,DTXSID6048385,116539-59-4,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,44ab613761851a0f,17
,,,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NS(C)(=O)=O)n2)c(OC)c1,8cdd37909d101ad7,8
losartan,DTXSID7023227,114798-26-4,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,942126010b9ffa87,7
"cyclopropanecarboxylic acid, 2-[2-(2-propenyloxy",DTXSID30875182,144106-15-0,C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,67f71fea29ef8612,5
alfuzosin,DTXSID6048549,81403-80-7,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,72a5d106a12893a5,5
,,,Cc1c(Cc2ccccc2S(=O)(=O)c2ccc(F)cc2)c(-c2ccccc2)nn1CC(=O)O,a516f0465f025bd8,5
jnj-39220675,DTXSID90242053,959740-39-7,O=C(c1ccc(Oc2ccc(F)cc2)nc1)N1CCCN(C2CCC2)CC1,369edc897ed47aa4,8
,,,O=C1c2ncc3c(ccn3Cc3ncc(F)cc3F)c2CCN1O,1ef5823b6f113257,8
"3-(3,4-dihydroxyphenyl)-2-hydroxypropanoic acid",DTXSID10865081,23028-17-3,O=C(O)C(O)Cc1ccc(O)c(O)c1,c0eb183907bcbc40,9
,,,CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCOCC2)cc2c(=O)cc(N3CCOCC3)oc12,ac85925cb8c5fd6d,8
,,,Cc1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1,963cd0ac133d6342,7
cabazitaxel,DTXSID40171389,183133-96-2,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,7ecba6ed209bcae3,1
,,,Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccccc2oc1=O,200078c0f912299d,15
"n-cyclohexyl-1-ethyl-2-oxo-1,2-dihydrobenzo[cd]indole-6-sulfonamide",DTXSID901352302,438488-95-0,CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23,c278ec5277de63eb,6
1-[3-(aminomethyl)phenyl]-n-[3-fluoro-2'-(methylsulfonyl)[biphenyl]-4-yl]-3-(trifluoromethyl)-1h-pyrazole-5-carboxamide,DTXSID301352211,209957-47-1,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CN)c2)c(F)c1,7d25aec13da20f0e,1
grepafloxacin,DTXSID2048321,119914-60-2,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,e6af1a60e5192a16,3
,,,CCOC(=O)c1ccc2c(c1)C(=O)c1nc3ccccc3c(=O)n1-2,2c706d6cabbad7e7,5
3-[(2-ethoxyphenoxy)methyl]morpholine,DTXSID50796300,63027-89-4,CCOc1ccccc1OCC1COCCN1,bcd278dca274eaf0,6
olodaterol,DTXSID601024792,868049-49-4,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,de7c3ca455d4a663,3
"n-benzyl-2-(4-hydroxy-2-oxo-1(2h)-pyridinyl)-4-methyl-1,3-thiazole-5-carboxamide",DTXSID001351945,1105690-38-7,Cc1nc(-n2ccc(O)cc2=O)sc1C(=O)NCc1ccccc1,c659195362adccfd,2
"5,7-dihydroxy-2-(3,4,5-trimethoxyphenyl)-4-benzopyrone",DTXSID70171059,18103-42-9,COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1OC,4877a9a7674731ab,8
,,,CCCCOc1ncc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(CC)n(C3CN(C)C3)nc2c(=O)[nH]1,192f91ca4b7526be,5
"9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl tropate",DTXSID60858963,475199-31-6,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,b3441ea3aeba6242,8
,,,Cc1ccc(C(=O)N(CC(=O)Nc2ncc(-c3ccc(N)cc3)s2)Cc2ccccc2)cn1,30123bb312735211,4
n-methyl-3-(2-methylphenoxy)-3-phenyl-1-propanamine,DTXSID10861048,63940-51-2,CNCCC(Oc1ccccc1C)c1ccccc1,5303a090410ba20f,9
telmisartan,DTXSID8023636,144701-48-4,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0c3c22ea60602b18,3
"8,13-dihydro-indolo(2',3':3,4)pyrido(2,1-b)quinazolin-5(7h)-one",DTXSID00232884,84-26-4,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,23a5f283a025c720,2
(±)-duloxetine,DTXSID40861238,116817-13-1,CNCCC(Oc1cccc2ccccc12)c1cccs1,fe1144761ad6d8cf,12
metoclopramide,DTXSID6045169,364-62-5,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,2c60464e7d315f10,9
way 100635,DTXSID20167467,162760-96-5,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,ba0d40ae04706741,1
fleroxacin,DTXSID1046714,79660-72-3,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,7c86f4f7bd2d8ed8,8
,,,O=C1c2ncc3c(ccn3Cc3ccc(F)cn3)c2CCN1O,9f977f6e6a9ac313,7
,,,CCCCOc1ncc(C(C)=O)cc1-c1nc(O)c2nn(C3CCN(CC)CC3)c(CC)c2n1,0db32d94aa740eb0,2
3-methoxy-17-methylmorphinan,DTXSID60859238,NOCAS_859238,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,53d26edea5fabca0,2
tolmetin,DTXSID2043951,26171-23-3,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,37cfc3cc9f8d06be,7
,,,CC(Nc1ccccc1)c1cc(C(=O)N2CCOCC2)cn2c(=O)cc(N3CCOCC3)nc12,2edf050f9a1cb18f,2
4-(2-pyrimidinylmethyl)benzoic acid,DTXSID701352344,562803-70-7,O=C(O)c1ccc(Cc2ncccn2)cc1,bfebfe531c301e10,2
mephobarbital,DTXSID4023258,115-38-8,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,99e39013bc64975a,6
,,,CCCCOc1ncc(C(C)=O)cc1-c1nc(O)c2nn(Cc3nccn3C)c(CC)c2n1,d01b76c1d037fd66,14
luseogliflozin,DTXSID10237921,898537-18-3,CCOc1ccc(Cc2cc([C@@H]3S[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(OC)cc2C)cc1,66296a856895896e,6
,,,Cc1ncc(CN[C@@H]2CCN(CCn3c(=O)ccc4ccc(C#N)cc43)C[C@@H]2F)cc1C#N,fecc319a80ace889,9
,,,CCCC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1CF,45fcb13182140ff2,2
,,,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N4CCOCC4)cc(CN4CCOc5c(F)cc(F)cc54)c3o2)CCO1,58ae6e0b3eb388b8,3
,,,Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1,33daadab101a9440,5
mls003373964,DTXSID10274412,141434-39-1,Nc1ccn(C2CSC(CO)O2)c(=O)n1,e82f4c09a7e31994,14
"2-[2-(3-quinolinyl)-4-pyridinyl]-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one",DTXSID801352385,724711-21-1,O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21,4ffc53ee77a78b92,15
,,,Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccccc2)[C@@H]3C)n1,17309706fecdd8aa,2
wogonin,DTXSID70212557,632-85-9,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,67abd3171fd8960f,4
biperiden,DTXSID6022680,514-65-8,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,6a9bc3d06f72fb39,6
,,,CC(C)(c1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1)S(C)(=O)=O,44e72286ed9c36fc,5
,,,Cc1cc([C@@H](C)Nc2ccccc2C(=O)NS(C)(=O)=O)c2nc(N3CCOCC3)cc(=O)n2c1,dab984cb1a3a11b3,2
